Symbol,Price,Date,Time,Change,Volume
DZK,352.0,14/12/2021,00:00:00,105,893
RKW,796.0,14/12/2021,00:00:22,188,676
UMH,288.0,14/12/2021,00:05:14,166,23
MXL,500.5,14/12/2021,00:11:59,52,799
YWH,485.5,14/12/2021,00:12:17,138,294
RKW,656.5,14/12/2021,00:18:07,105,1
RKW,851.5,14/12/2021,00:18:32,114,738
VNL,37.0,14/12/2021,00:19:30,191,70
MEU,285.5,14/12/2021,00:23:56,94,727
NNB,789.5,14/12/2021,00:29:56,129,226
DZK,622.5,14/12/2021,00:34:51,41,291
ZJV,853.5,14/12/2021,00:35:12,138,661
MXL,324.5,14/12/2021,00:36:44,181,487
LRF,725.0,14/12/2021,00:41:30,16,566
UMH,840.0,14/12/2021,00:44:02,96,187
FYH,717.5,14/12/2021,00:45:35,149,820
RKW,728.5,14/12/2021,00:51:17,94,690
CPA,125.5,14/12/2021,00:56:48,115,195
NNB,690.0,14/12/2021,00:57:08,49,968
SCS,357.0,14/12/2021,01:00:15,178,891
VNL,635.0,14/12/2021,01:03:08,3,519
APK,302.0,14/12/2021,01:08:42,190,934
UNR,512.5,14/12/2021,01:16:51,32,341
FHW,958.5,14/12/2021,01:21:43,60,471
CPA,935.5,14/12/2021,01:24:43,84,154
SCS,201.5,14/12/2021,01:26:03,196,233
YWH,877.5,14/12/2021,01:29:42,58,823
MXL,848.0,14/12/2021,01:32:25,119,807
JBU,629.0,14/12/2021,01:34:08,191,159
LRF,410.5,14/12/2021,01:34:55,118,164
RXU,83.5,14/12/2021,01:36:03,191,218
APK,709.5,14/12/2021,01:39:19,147,556
EBV,804.5,14/12/2021,01:39:51,195,26
FYH,51.5,14/12/2021,01:42:38,68,308
CZW,766.0,14/12/2021,01:44:57,61,955
OZH,293.5,14/12/2021,01:47:32,181,247
VNL,673.5,14/12/2021,01:53:42,109,514
UMH,420.5,14/12/2021,01:59:52,193,216
LUJ,112.5,14/12/2021,02:08:01,8,639
OZH,878.0,14/12/2021,02:16:17,67,438
MEU,873.0,14/12/2021,02:18:13,137,454
LUJ,928.0,14/12/2021,02:18:40,193,958
YWH,568.5,14/12/2021,02:18:52,130,39
DAX,428.5,14/12/2021,02:25:28,117,940
MEU,673.5,14/12/2021,02:32:40,85,797
JBU,896.0,14/12/2021,02:33:59,80,747
YWH,529.0,14/12/2021,02:37:59,197,460
