Symbol,Volume,Max,Min
APK,8472,969.5,108.0
CPA,5998,965.5,43.0
CZW,7580,947.5,30.0
DAX,9045,991.5,33.5
DZK,5270,871.0,49.5
EBV,6509,827.5,28.5
FHW,3541,976.5,147.5
FYH,5856,961.0,25.5
HZU,3757,701.0,38.5
JBU,5286,896.0,31.5
LRF,7224,965.0,64.0
LUJ,8246,989.0,112.5
MEU,7693,877.0,183.0
MXL,4141,848.0,148.0
NNB,5269,929.5,175.5
OZH,8008,968.0,145.5
RKW,14312,973.0,58.0
RXU,6398,974.0,31.5
SCS,4688,937.5,201.5
UMH,8444,884.0,32.0
UNR,5581,931.0,88.0
VNL,5853,977.5,37.0
YWH,8415,950.0,39.0
YYH,7361,950.5,136.5
ZJV,4644,995.0,25.0
